age,balance,churned,conversion_rate,credit_score,income,industry_segment,monthly_spend,region,risk_score,score,sex,tenure_months,transaction_amount
57.6445,25010.7552,no,0.275,433.9264,221204.893,enterprise,6770.2279,east,0.8922,20.0,other,51.2087,596.9146
30.3279,300000.0,no,0.5449,432.2644,177190.4395,enterprise,8096.2103,south,0.0065,80.5819,female,84.0786,6805.6701
23.7502,96716.3768,yes,0.8475,662.2356,242331.3537,smb,7300.0205,north,0.5362,90.0,other,46.0456,9000.0
22.3124,300000.0,yes,0.7731,891.1329,256739.9986,enterprise,8666.1718,south,0.3801,45.341,other,100.2591,3253.9193
76.0726,300000.0,yes,0.6091,402.6832,219008.9126,enterprise,1642.3909,north,0.3795,90.0,female,77.16,9000.0
67.9128,300000.0,no,0.0662,847.8817,170586.8354,mid_market,7181.9636,north,0.2126,49.9231,female,106.2773,9000.0
64.1893,300000.0,no,0.747,557.0603,175476.3446,enterprise,3626.3445,north,0.9973,20.0,other,59.7284,9000.0
44.1739,63527.7062,yes,0.3816,897.6728,159205.1892,smb,9711.073,south,0.8608,20.0,female,86.7659,9000.0
36.197,158157.7543,no,0.0032,733.2552,216184.52,enterprise,9719.1621,south,0.762,50.7682,female,13.6629,9000.0
51.4415,300000.0,no,0.5304,300.3431,97922.661,enterprise,204.5727,east,0.9291,87.8722,female,99.9682,6150.975
63.3783,300000.0,no,0.978,619.6237,38602.3929,smb,6600.9107,north,0.9468,20.0,other,63.7932,9000.0
37.3264,300000.0,no,0.6499,562.8601,155755.1765,enterprise,1218.8319,east,0.2247,33.8086,other,71.0087,4603.0645
57.1284,228941.7838,yes,0.9054,815.7812,22186.3476,enterprise,2387.6663,west,0.669,21.4237,male,16.7451,9000.0
29.8054,96930.8142,yes,0.4311,554.1472,140640.3757,enterprise,7293.4677,north,0.6734,90.0,female,12.7117,8053.023
29.793,300000.0,no,0.4219,467.1271,75692.1279,enterprise,9233.4233,north,0.4431,86.1349,female,66.4887,1012.716
43.1977,300000.0,yes,0.8647,841.4657,50226.4993,enterprise,31.5322,north,0.3904,90.0,male,94.4304,5705.6993
31.4975,58483.292,no,0.7357,336.5745,94767.8381,enterprise,510.9219,east,0.4768,90.0,other,64.204,1138.5347
22.2136,300000.0,yes,0.4038,864.9577,171332.9476,mid_market,5793.4014,north,0.0397,20.0,other,79.2274,9000.0
62.4039,238685.9526,no,0.3958,703.0141,90699.1269,enterprise,3168.6102,north,0.7519,20.0,other,55.536,9000.0
