age,basket_size,churned,conversion_rate,customer_lifetime_value,device,discount_usage,membership_tier,monthly_spend,orders_per_month,region,return_rate,session_duration,tenure_months
63.3176,2.2255,no,0.275,111605.3691,mobile,0.7365,gold,2500.0,20.0,north,0.0869,253.7312,8.1215
68.9855,35.3649,no,0.35,224604.5231,mobile,0.2782,gold,2500.0,20.0,east,0.1597,254.146,67.4113
44.1146,18.59,yes,0.344,132260.4336,mobile,0.0435,gold,2500.0,7.4896,east,0.9223,48.2013,71.0696
19.391,12.167,no,0.2894,39895.9885,mobile,0.2328,gold,2020.0286,16.6784,east,0.6357,219.5345,89.4733
61.0757,9.3858,no,0.35,81701.2469,mobile,0.3795,gold,2500.0,20.0,south,0.5569,411.0839,202.4416
45.6862,4.2432,no,0.35,283590.0257,mobile,0.7179,gold,2500.0,20.0,west,0.8847,386.0683,35.1463
82.4389,20.5706,yes,0.2193,498768.8032,mobile,0.5095,gold,1818.1882,2.827,west,0.1096,376.8402,190.307
44.2398,49.8099,yes,0.35,485539.1888,mobile,0.8608,gold,229.6204,20.0,west,0.6817,322.6452,64.7712
27.7037,1.159,no,0.35,359840.3344,mobile,0.9719,gold,2500.0,20.0,north,0.1064,375.5548,202.159
55.914,39.1527,no,0.35,285.9481,mobile,0.3242,gold,389.5348,20.0,east,0.8787,499.1677,74.4959
70.1612,40.9851,no,0.35,266353.0848,mobile,0.1258,gold,2500.0,20.0,south,0.1651,317.0766,145.9759
45.5254,33.9127,no,0.35,449807.0423,mobile,0.4515,gold,2500.0,3.8416,north,0.021,332.799,141.6372
20.9876,2.5392,no,0.3304,257078.0599,mobile,0.2785,gold,2500.0,20.0,north,0.7234,529.5475,138.7146
22.9801,33.2902,no,0.35,205551.138,mobile,0.8638,gold,1083.4237,20.0,north,0.6462,37.307,175.043
55.6851,7.8689,no,0.1835,231314.0342,mobile,0.8745,gold,1507.6978,20.0,north,0.856,59.6473,156.8626
46.0746,24.5866,yes,0.35,451221.4328,mobile,0.1646,gold,50.0,20.0,south,0.9265,471.2925,69.1746
32.1099,3.8657,no,0.35,30478.7857,mobile,0.3136,gold,1002.8467,20.0,east,0.9194,319.1446,14.5942
65.9657,12.525,yes,0.1199,445143.6571,mobile,0.2462,gold,2500.0,20.0,north,0.4192,350.6197,125.9451
35.6555,7.413,no,0.35,228612.2863,mobile,0.929,gold,2500.0,1.0,north,0.6212,338.2332,24.8955
85.0612,44.1623,no,0.35,184763.5444,mobile,0.1577,gold,2500.0,20.0,east,0.6117,592.3526,157.3003
85.4808,7.5803,yes,0.1154,53517.9889,mobile,0.5532,gold,2500.0,20.0,south,0.7176,122.9548,152.5829
82.9949,42.4591,yes,0.0923,211787.8863,mobile,0.2767,gold,70.9138,20.0,east,0.6371,157.9112,178.1542
21.568,44.2722,no,0.35,272795.1446,mobile,0.8346,gold,2500.0,8.8856,north,0.1274,185.6468,215.8566
65.3531,18.3303,no,0.35,437356.3618,mobile,0.9738,gold,2500.0,20.0,north,0.2367,98.3386,192.173
70.5058,17.2771,yes,0.35,401117.5695,mobile,0.8641,gold,2500.0,16.0083,west,0.7874,65.7493,209.4479
41.8747,41.2063,yes,0.35,111461.7736,mobile,0.66,gold,2500.0,16.7162,east,0.0694,464.2227,84.9239
24.5353,48.5496,no,0.1786,481267.1579,mobile,0.2655,gold,2168.0509,20.0,south,0.7285,188.8927,145.8839
19.2846,22.3668,yes,0.35,403255.4349,mobile,0.6869,gold,2500.0,20.0,east,0.197,259.3471,227.781
69.2618,15.7158,no,0.3093,204196.4543,mobile,0.4024,gold,2500.0,7.6373,west,0.4204,564.2778,162.879
56.5474,1.0199,no,0.2869,214944.075,mobile,0.58,gold,2500.0,20.0,south,0.4422,129.0071,114.0915
54.1434,32.0141,yes,0.3352,409211.7323,mobile,0.7511,gold,2500.0,13.4784,west,0.1991,15.6308,59.5174
46.6686,31.8585,no,0.1944,348177.1252,mobile,0.4944,gold,2500.0,20.0,north,0.0055,450.8277,185.041
75.5041,35.0997,yes,0.35,278702.897,mobile,0.9175,gold,2427.172,8.0003,west,0.4646,319.148,134.5831
82.3934,37.4391,no,0.35,129595.7742,mobile,0.2472,gold,2500.0,20.0,north,0.5213,376.4223,66.6288
36.1069,16.6658,yes,0.35,69187.0308,mobile,0.2313,gold,2500.0,20.0,west,0.0642,245.152,130.6841
44.8213,38.72,yes,0.35,9765.9784,mobile,0.8807,gold,2500.0,20.0,west,0.9427,179.869,94.2068
32.2372,22.356,no,0.03,168064.7718,mobile,0.6791,gold,2500.0,9.9027,east,0.4674,77.4491,149.7194
63.5635,7.6493,yes,0.35,25142.3167,mobile,0.3791,gold,2500.0,19.6107,west,0.7612,228.0966,180.7303
17.4344,27.4315,no,0.35,174980.1719,mobile,0.6501,gold,2500.0,20.0,north,0.7542,569.8174,48.6472
