age,balance,churned,conversion_rate,credit_score,income,industry_segment,monthly_spend,region,risk_score,score,sex,tenure_months,transaction_amount
40.0,25010.7552,no,0.275,433.9264,221204.893,enterprise,600.0,east,0.8922,30.0,other,51.2087,596.9146
30.3279,649884.4378,no,0.4,432.2644,177190.4395,enterprise,600.0,south,0.0065,80.5819,female,84.0786,6805.6701
23.7502,96716.3768,yes,0.4,662.2356,242331.3537,smb,600.0,north,0.5362,90.0,other,46.0456,11041.2606
22.3124,661263.3186,yes,0.4,891.1329,256739.9986,enterprise,600.0,south,0.3801,45.341,other,100.2591,3253.9193
40.0,648035.3852,yes,0.4,402.6832,219008.9126,enterprise,600.0,north,0.3795,90.0,female,77.16,11139.4379
40.0,401164.787,no,0.0662,847.8817,170586.8354,mid_market,600.0,north,0.2126,49.9231,female,106.2773,12857.3946
40.0,538977.2897,no,0.4,557.0603,175476.3446,enterprise,600.0,north,0.9973,30.0,other,59.7284,15115.8874
40.0,63527.7062,yes,0.3816,897.6728,159205.1892,smb,600.0,south,0.8608,30.0,female,86.7659,13634.5257
36.197,158157.7543,no,0.03,733.2552,216184.52,enterprise,600.0,south,0.762,50.7682,female,13.6629,12506.3786
40.0,778626.4786,no,0.4,300.3431,97922.661,enterprise,204.5727,east,0.9291,87.8722,female,99.9682,6150.975
40.0,816023.2534,no,0.4,619.6237,38602.3929,smb,600.0,north,0.9468,30.0,other,63.7932,12132.2718
37.3264,995149.3567,no,0.4,562.8601,155755.1765,enterprise,600.0,east,0.2247,33.8086,other,71.0087,4603.0645
40.0,228941.7838,yes,0.4,815.7812,22186.3476,enterprise,600.0,west,0.669,30.0,male,16.7451,18710.3493
29.8054,96930.8142,yes,0.4,554.1472,140640.3757,enterprise,600.0,north,0.6734,90.0,female,12.7117,8053.023
29.793,448613.5478,no,0.4,467.1271,75692.1279,enterprise,600.0,north,0.4431,86.1349,female,66.4887,1012.716
40.0,481358.418,yes,0.4,841.4657,50226.4993,enterprise,31.5322,north,0.3904,90.0,male,94.4304,5705.6993
31.4975,58483.292,no,0.4,336.5745,94767.8381,enterprise,510.9219,east,0.4768,90.0,other,64.204,1138.5347
22.2136,861819.202,yes,0.4,864.9577,171332.9476,mid_market,600.0,north,0.0397,30.0,other,79.2274,11304.9732
40.0,238685.9526,no,0.3958,703.0141,90699.1269,enterprise,600.0,north,0.7519,30.0,other,55.536,19969.0904
34.4424,933259.378,no,0.4,827.5621,111488.5995,smb,600.0,south,0.8337,70.354,other,73.7897,19744.674
24.4224,878126.965,yes,0.2645,833.8276,222982.5885,smb,600.0,west,0.2818,30.0,male,41.8028,13750.2551
40.0,846103.7133,yes,0.0923,554.1455,83727.387,smb,45.4214,east,0.7711,63.7113,female,32.1727,14824.8769
22.6651,883106.3933,no,0.4,627.3542,250543.9109,mid_market,600.0,north,0.1481,30.0,other,37.6827,17979.7308
33.4708,102793.6217,no,0.4,830.4808,122506.8396,mid_market,600.0,east,0.1546,90.0,female,103.8881,19524.1445
40.0,332185.4679,yes,0.4,781.3411,259355.1445,enterprise,600.0,north,0.2668,78.7375,male,13.8634,17443.4635
39.6788,820536.381,yes,0.4,433.7541,198349.9216,smb,600.0,south,0.2786,30.0,female,93.0259,7023.5714
25.1512,970400.611,no,0.1786,877.5206,80374.4424,mid_market,600.0,north,0.4346,72.8545,male,38.3276,12124.5709
20.752,436057.5155,yes,0.4,783.9065,206370.2869,smb,600.0,south,0.737,30.0,other,52.3244,18977.5408
40.0,719754.263,no,0.3003,485.5708,123109.4797,smb,600.0,south,0.2957,30.0,male,51.0331,18807.3331
40.0,405.9397,no,0.2869,557.9329,174415.4496,smb,600.0,east,0.465,44.216,male,26.4305,9464.2505
40.0,632940.8558,yes,0.3352,791.0541,225590.3031,smb,600.0,east,0.2246,30.0,male,3.9066,4897.606
40.0,629765.3807,no,0.1944,717.8126,148818.7735,mid_market,600.0,north,0.6561,30.0,female,90.3648,15401.1537
40.0,695911.7764,yes,0.4,634.4435,275323.5343,mid_market,600.0,west,0.1333,46.4643,other,64.2047,11178.9469
40.0,159157.9075,yes,0.4,570.0419,225781.2592,enterprise,600.0,south,0.2773,77.7675,female,58.667,4785.678
34.8463,319709.5684,yes,0.4,383.0244,70147.1824,enterprise,600.0,north,0.7064,30.0,male,49.5043,10852.6802
40.0,769795.7723,yes,0.4,311.7192,264316.3452,smb,600.0,north,0.477,90.0,male,36.5349,7800.343
31.6041,435835.976,no,0.03,501.6777,204063.4236,mid_market,600.0,east,0.165,46.739,female,16.1877,12445.517
40.0,135699.4872,yes,0.4,330.1708,114352.0554,mid_market,600.0,east,0.3268,76.123,male,46.116,15040.4445
19.2018,539419.0479,no,0.4,509.9762,195393.0839,smb,600.0,north,0.6518,75.4233,female,114.0038,3988.0143
25.8257,669458.8446,no,0.4,430.7787,210140.0264,mid_market,600.0,east,0.1678,60.7247,other,90.0032,2291.5429
19.5921,311957.2444,yes,0.4,874.9037,119599.678,smb,600.0,east,0.076,69.0614,other,75.6418,2038.9242
40.0,347203.7653,yes,0.4,522.3425,152282.2761,smb,600.0,north,0.8496,82.2331,male,13.5591,19215.7906
28.9205,521746.7469,no,0.4,669.5474,275965.6794,enterprise,600.0,south,0.4649,82.5735,male,71.5045,6446.7694
33.1195,464708.4666,yes,0.4,527.3936,9581.2993,smb,600.0,east,0.1818,30.0,other,95.9421,6807.4365
40.0,85612.962,no,0.4,593.1467,227691.2314,mid_market,600.0,north,0.6459,49.0821,male,95.359,1861.974
40.0,369020.4507,no,0.4,506.2544,298992.8077,mid_market,600.0,east,0.3518,45.3745,other,37.4881,4611.5303
40.0,762189.6095,no,0.1851,429.8308,145775.3776,mid_market,600.0,north,0.9766,52.4637,male,34.6768,2011.4216
