account_balance,age,credit_score,debt_to_income,default_risk,defaulted,employment_status,income,interest_rate,loan_amount,loan_type,region,tenure_months,transaction_amount
316107.6672,19.5507,580.0,0.2232,0.7365,no,employed,180000.0,0.4026,87395.3632,auto,north,153.6261,2980.6921
355170.0026,61.4821,580.0,0.4492,0.2782,no,self_employed,180000.0,0.3439,160079.4867,auto,east,153.8733,27787.8563
183762.9233,40.2567,580.0,0.2645,0.0435,yes,unemployed,138368.039,0.0649,922334.2243,business,east,31.1317,29318.535
13370.4357,32.1297,580.0,0.0798,0.2328,no,unemployed,31199.4274,0.1323,635866.602,mortgage,east,133.2451,37018.7265
300656.8129,28.6106,737.4761,0.1634,0.3795,no,employed,180000.0,0.2916,557171.2689,auto,south,247.4073,84285.3492
194594.0414,22.1037,820.0,0.5672,0.7179,no,employed,64575.3367,0.2297,884740.8123,mortgage,west,232.4981,14288.0162
447889.6706,42.7628,580.0,0.6,0.5095,yes,unemployed,28181.9142,0.0307,110094.3058,auto,west,226.9982,79208.1444
184625.8361,79.7595,617.4686,0.6,0.8608,yes,employed,25000.0,0.3271,681869.5138,mortgage,west,194.6984,26683.2522
70660.4547,18.2012,733.2552,0.6,0.9719,no,employed,180000.0,0.2334,106857.6174,mortgage,north,226.2322,84167.0931
265083.3054,66.2748,618.2122,0.05,0.3242,no,employed,25000.0,0.4188,878782.5169,auto,east,299.9046,30752.105
363272.8734,68.5934,820.0,0.5327,0.1258,no,unemployed,180000.0,0.4266,165544.3955,business,south,191.3795,60659.7852
193486.073,59.6446,580.0,0.6,0.4515,no,employed,75123.7785,0.0382,21523.7429,auto,north,200.75,58844.423
24374.1673,19.9476,580.0,0.5142,0.2785,no,self_employed,146138.9352,0.2473,723490.8896,personal,north,318.0108,57621.5888
38106.1562,58.8569,580.0,0.4111,0.8638,no,employed,25000.0,0.2975,646356.6614,business,north,24.6387,72821.6306
263505.7345,26.6913,580.0,0.4626,0.8745,no,employed,25000.0,0.3655,856038.909,business,north,37.9534,65214.8373
197271.1696,47.8442,818.7902,0.6,0.1646,yes,employed,25000.0,0.1818,926554.8145,business,south,283.2912,28525.6376
101027.4582,21.626,741.4423,0.061,0.3136,no,employed,25000.0,0.2198,919427.4373,auto,east,192.612,5688.9011
334358.4023,32.5826,580.0,0.6,0.2462,yes,employed,178761.2269,0.2825,419515.3029,mortgage,north,211.371,52278.7488
125463.4014,26.1145,687.3005,0.4572,0.929,no,unemployed,180000.0,0.0141,621348.6759,mortgage,north,203.9887,9999.0249
465962.2828,72.6136,820.0,0.3695,0.1577,no,unemployed,180000.0,0.3196,611871.9268,mortgage,east,355.4422,65397.9778
468854.302,26.326,580.0,0.107,0.5532,yes,unemployed,82432.1155,0.2761,717753.381,personal,south,75.6842,63424.1617
451721.6105,70.4584,580.0,0.4236,0.2767,yes,unemployed,25000.0,0.3493,637294.8206,auto,east,96.518,74123.3496
28374.3686,72.7526,820.0,0.5456,0.8346,no,self_employed,175170.3604,0.0752,127881.7965,business,north,113.0482,89898.2499
330136.0394,39.9281,635.9301,0.6,0.9738,no,self_employed,180000.0,0.4173,237118.9636,auto,north,61.0131,79988.9031
365647.8806,38.5955,820.0,0.6,0.8641,yes,employed,180000.0,0.1274,787480.8219,business,west,41.5901,87216.8061
168325.7965,68.8733,820.0,0.2229,0.66,yes,unemployed,120141.3276,0.1326,69886.0443,mortgage,east,279.0776,35115.2618
48824.2934,78.1648,580.0,0.6,0.2655,no,self_employed,33412.3616,0.2012,728680.7881,business,south,114.9828,60621.2791
12637.1322,45.0356,611.9522,0.6,0.6869,yes,unemployed,180000.0,0.3343,197436.6115,mortgage,east,156.9732,94887.4997
357074.6741,36.62,580.0,0.4084,0.4024,no,unemployed,89400.9056,0.066,420736.1106,mortgage,west,338.7098,67732.1172
269447.9787,18.0252,580.0,0.4299,0.58,no,unemployed,180000.0,0.2146,442438.7194,auto,south,79.2914,47319.1454
252880.5251,57.2423,580.0,0.6,0.7511,yes,unemployed,180000.0,0.1088,199530.3678,auto,west,11.7199,24485.0096
201364.9156,57.0455,580.0,0.6,0.4944,no,self_employed,73951.3474,0.2987,6042.0457,business,north,271.0943,77004.8488
400096.0266,61.1465,580.0,0.5574,0.9175,yes,self_employed,37286.2212,0.0687,464910.9159,personal,west,192.6141,55892.9701
447576.1326,64.1066,584.8047,0.2592,0.2472,no,unemployed,180000.0,0.347,521539.1629,mortgage,north,226.7492,27460.4701
128574.7046,37.822,624.0913,0.1384,0.2313,yes,employed,180000.0,0.3208,64696.7363,business,west,148.513,54261.5714
188633.1745,65.7273,820.0,0.05,0.8807,yes,unemployed,173131.4137,0.2199,942770.2866,business,west,109.6047,38999.2748
101905.0337,45.0218,580.0,0.3361,0.6791,no,self_employed,121890.6841,0.0826,467656.4542,auto,east,48.5631,62226.0738
317802.3205,26.4134,580.0,0.0503,0.3791,yes,self_employed,64286.425,0.1538,761349.093,auto,west,138.3481,75201.2303
-114.5236,51.444,820.0,0.35,0.6501,no,unemployed,180000.0,0.2968,754356.0875,business,north,342.0114,19936.8689
54372.6972,59.5064,638.3817,0.218,0.6995,no,self_employed,180000.0,0.0838,607443.8701,auto,east,270.0095,11454.1726
463732.4559,53.6994,820.0,0.3753,0.9415,yes,unemployed,60300.6034,0.2705,830656.348,auto,east,89.6972,69719.6031
167073.9203,44.5594,580.0,0.506,0.3412,yes,unemployed,180000.0,0.3718,105986.1012,business,west,346.0012,63558.875
