age,balance,churned,conversion_rate,credit_score,income,industry_segment,monthly_spend,region,risk_score,score,sex,tenure_months,transaction_amount
57.6445,25010.7552,no,0.275,433.9264,221204.893,enterprise,2500.0,east,0.8922,8.6939,other,51.2087,596.9146
30.3279,649884.4378,no,0.35,432.2644,177190.4395,enterprise,2500.0,south,0.0065,80.5819,female,84.0,6805.6701
23.7502,96716.3768,no,0.35,662.2356,242331.3537,smb,2500.0,north,0.5362,97.3116,other,46.0456,11041.2606
22.3124,661263.3186,no,0.35,891.1329,256739.9986,enterprise,2500.0,south,0.3801,45.341,other,84.0,3253.9193
76.0726,648035.3852,no,0.35,402.6832,219008.9126,enterprise,1642.3909,north,0.3795,98.9523,female,77.16,11139.4379
67.9128,401164.787,no,0.0662,847.8817,170586.8354,mid_market,2500.0,north,0.2126,49.9231,female,84.0,12857.3946
64.1893,538977.2897,no,0.35,557.0603,175476.3446,enterprise,2500.0,north,0.9973,13.8332,other,59.7284,15115.8874
44.1739,63527.7062,no,0.35,897.6728,159205.1892,smb,2500.0,south,0.8608,1.1481,female,84.0,13634.5257
36.197,158157.7543,no,0.02,733.2552,216184.52,enterprise,2500.0,south,0.762,50.7682,female,13.6629,12506.3786
51.4415,778626.4786,no,0.35,300.3431,97922.661,enterprise,204.5727,east,0.9291,87.8722,female,84.0,6150.975
63.3783,816023.2534,no,0.35,619.6237,38602.3929,smb,2500.0,north,0.9468,16.5127,other,63.7932,12132.2718
37.3264,995149.3567,no,0.35,562.8601,155755.1765,enterprise,1218.8319,east,0.2247,33.8086,other,71.0087,4603.0645
57.1284,228941.7838,no,0.35,815.7812,22186.3476,enterprise,2387.6663,west,0.669,21.4237,male,16.7451,18710.3493
29.8054,96930.8142,no,0.35,554.1472,140640.3757,enterprise,2500.0,north,0.6734,98.4165,female,12.7117,8053.023
29.793,448613.5478,no,0.35,467.1271,75692.1279,enterprise,2500.0,north,0.4431,86.1349,female,66.4887,1012.716
43.1977,481358.418,no,0.35,841.4657,50226.4993,enterprise,31.5322,north,0.3904,92.6518,male,84.0,5705.6993
31.4975,58483.292,no,0.35,336.5745,94767.8381,enterprise,510.9219,east,0.4768,91.9387,other,64.204,1138.5347
22.2136,861819.202,no,0.35,864.9577,171332.9476,mid_market,2500.0,north,0.0397,8.1983,other,79.2274,11304.9732
62.4039,238685.9526,no,0.35,703.0141,90699.1269,enterprise,2500.0,north,0.7519,7.2543,other,55.536,19969.0904
34.4424,933259.378,no,0.35,827.5621,111488.5995,smb,1585.8909,south,0.8337,70.354,other,73.7897,19744.674
24.4224,878126.965,no,0.2645,833.8276,222982.5885,smb,1562.9246,west,0.2818,21.063,male,41.8028,13750.2551
74.1309,846103.7133,no,0.0923,554.1455,83727.387,smb,45.4214,east,0.7711,63.7113,female,32.1727,14824.8769
22.6651,883106.3933,no,0.35,627.3542,250543.9109,mid_market,2500.0,north,0.1481,12.7446,other,37.6827,17979.7308
33.4708,102793.6217,no,0.35,830.4808,122506.8396,mid_market,2500.0,east,0.1546,92.9881,female,84.0,19524.1445
63.667,332185.4679,no,0.35,781.3411,259355.1445,enterprise,2500.0,north,0.2668,78.7375,male,13.8634,17443.4635
39.6788,820536.381,no,0.35,433.7541,198349.9216,smb,2500.0,south,0.2786,6.9421,female,84.0,7023.5714
25.1512,970400.611,no,0.1786,877.5206,80374.4424,mid_market,1092.9414,north,0.4346,72.8545,male,38.3276,12124.5709
20.752,436057.5155,no,0.35,783.9065,206370.2869,smb,2500.0,south,0.737,19.7035,other,52.3244,18977.5408
70.5769,719754.263,no,0.3003,485.5708,123109.4797,smb,2500.0,south,0.2957,12.7288,male,51.0331,18807.3331
51.9721,405.9397,no,0.2869,557.9329,174415.4496,smb,2500.0,east,0.465,44.216,male,26.4305,9464.2505
49.958,632940.8558,no,0.3352,791.0541,225590.3031,smb,2500.0,east,0.2246,19.913,male,3.9066,4897.606
43.6953,629765.3807,no,0.1944,717.8126,148818.7735,mid_market,2447.4046,north,0.6561,0.5545,female,84.0,15401.1537
67.8548,695911.7764,no,0.35,634.4435,275323.5343,mid_market,1222.3724,west,0.1333,46.4643,other,64.2047,11178.9469
45.6466,159157.9075,no,0.35,570.0419,225781.2592,enterprise,2500.0,south,0.2773,77.7675,female,58.667,4785.678
34.8463,319709.5684,no,0.35,383.0244,70147.1824,enterprise,2500.0,north,0.7064,6.4229,male,49.5043,10852.6802
42.1476,769795.7723,no,0.35,311.7192,264316.3452,smb,2500.0,north,0.477,94.2742,male,36.5349,7800.343
31.6041,435835.976,no,0.029,501.6777,204063.4236,mid_market,2500.0,east,0.165,46.739,female,16.1877,12445.517
57.8505,135699.4872,no,0.35,330.1708,114352.0554,mid_market,2124.4862,east,0.3268,76.123,male,46.116,15040.4445
19.2018,539419.0479,no,0.35,509.9762,195393.0839,smb,2500.0,north,0.6518,75.4233,female,84.0,3988.0143
25.8257,669458.8446,no,0.35,430.7787,210140.0264,mid_market,2500.0,east,0.1678,60.7247,other,84.0,2291.5429
19.5921,311957.2444,no,0.35,874.9037,119599.678,smb,2500.0,east,0.076,69.0614,other,75.6418,2038.9242
66.5234,347203.7653,no,0.35,522.3425,152282.2761,smb,2500.0,north,0.8496,82.2331,male,13.5591,19215.7906
28.9205,521746.7469,no,0.35,669.5474,275965.6794,enterprise,2500.0,south,0.4649,82.5735,male,71.5045,6446.7694
33.1195,464708.4666,no,0.35,527.3936,9581.2993,smb,2500.0,east,0.1818,21.212,other,84.0,6807.4365
76.7799,85612.962,no,0.35,593.1467,227691.2314,mid_market,2500.0,north,0.6459,49.0821,male,84.0,1861.974
59.1655,369020.4507,no,0.35,506.2544,298992.8077,mid_market,2500.0,east,0.3518,45.3745,other,37.4881,4611.5303
51.2236,762189.6095,no,0.1851,429.8308,145775.3776,mid_market,2500.0,north,0.9766,52.4637,male,34.6768,2011.4216
29.1254,14148.3673,no,0.35,464.5868,292314.1844,smb,2500.0,south,0.6974,12.6279,male,84.0,9818.083
47.6803,340705.9326,no,0.35,451.487,258655.1664,enterprise,1149.7305,south,0.0653,49.1747,female,69.6655,13729.3339
79.6229,118451.5622,no,0.35,663.7906,237431.5081,mid_market,2264.6145,east,0.5226,45.0514,other,53.6838,17203.4731
77.5267,99233.5748,no,0.35,675.309,80129.1915,mid_market,821.0628,east,0.2399,55.1992,female,19.6274,8170.9429
35.8625,282718.3731,no,0.35,342.7079,70793.718,smb,2500.0,north,0.7912,58.979,other,84.0,3957.1865
27.2373,265632.4716,no,0.1422,335.7828,237995.9413,smb,2500.0,west,0.8242,92.1193,male,53.2593,9374.4907
49.0293,493795.2193,no,0.0804,323.9165,130176.5706,smb,2500.0,south,0.2504,9.1327,other,84.0,16719.3363
20.4944,756268.8304,no,0.35,690.9057,274905.7636,mid_market,1823.0766,south,0.5853,63.4785,male,59.5154,1825.7569
59.5483,857733.0944,no,0.3298,716.2042,87177.1208,enterprise,2500.0,west,0.8136,55.0097,other,55.1243,6291.0286
69.1455,1151.0674,no,0.35,577.1858,17207.0215,smb,2500.0,north,0.6226,49.8493,male,53.6029,1033.1839
45.1632,698250.0291,no,0.1214,883.8881,183052.6285,mid_market,2400.5816,east,0.1584,55.0839,other,66.7179,1865.0908
69.5929,498375.5047,no,0.35,605.3232,82754.0441,enterprise,2500.0,south,0.9802,24.3731,male,66.6005,7672.3367
39.0723,787717.4058,no,0.2672,301.5392,218089.2438,mid_market,2500.0,south,0.5799,65.9941,other,84.0,8931.5013
65.2981,377210.0542,no,0.35,821.761,294251.6148,smb,2395.6674,west,0.383,85.6013,male,49.8822,6364.2084
79.2817,792393.6607,no,0.35,391.2632,289482.5071,smb,1271.2002,west,0.9654,33.1995,female,12.9434,16900.9434
62.7915,409978.6197,no,0.35,392.6167,141377.6897,mid_market,2500.0,west,0.3386,69.2705,other,78.3306,17035.4541
20.2257,68420.7472,no,0.35,852.5575,299230.351,enterprise,2500.0,south,0.434,9.8443,female,76.416,17451.7121
20.8514,796143.4652,no,0.2934,524.9047,44525.3689,smb,2500.0,north,0.5659,79.2519,male,21.2281,1580.288
74.5954,143117.7201,no,0.35,452.3864,77342.6857,mid_market,103.8803,south,0.8046,90.1209,other,81.6357,3160.3545
77.6458,690313.5125,no,0.35,481.273,299812.6961,enterprise,2500.0,west,0.1067,38.1364,male,43.7161,5918.1519
18.5021,865067.3977,no,0.35,884.1617,273274.4692,enterprise,2500.0,north,0.8328,90.2935,other,84.0,4603.1377
33.5389,755577.3237,no,0.35,708.5131,41896.9923,smb,980.6677,north,0.6275,3.9423,female,84.0,668.2573
74.3969,326719.1257,no,0.35,420.4769,236167.3305,mid_market,2500.0,south,0.3659,50.1795,female,33.4308,3291.7239
47.0365,75299.3609,no,0.35,435.3688,203220.7937,enterprise,2500.0,south,0.3974,84.5744,other,67.3202,1806.9672
25.6625,368585.6586,no,0.35,457.2968,114926.6243,smb,2500.0,north,0.3715,67.4837,other,57.1057,12391.3178
21.9195,823855.3514,no,0.35,481.3141,123080.4609,mid_market,1406.3724,west,0.9463,30.4365,male,59.6223,1944.7428
59.5701,743140.1215,no,0.35,551.4761,222938.4354,enterprise,1553.6838,south,0.4149,9.9022,female,59.2323,8162.9096
45.4898,950555.1699,no,0.35,359.6128,206018.3994,mid_market,2500.0,east,0.9778,35.8674,other,48.3786,3796.9814
31.1506,639492.9185,no,0.35,330.3471,100719.2378,enterprise,2500.0,south,0.787,20.5206,female,84.0,11084.6016
66.8959,595981.6352,no,0.2773,890.4169,296270.664,enterprise,2500.0,south,0.7985,10.9926,female,84.0,2636.9328
28.8033,52399.0179,no,0.35,615.6513,223953.9172,smb,2500.0,south,0.778,51.3238,male,13.9774,10077.27
57.8871,31150.6395,no,0.35,808.3791,128455.8122,enterprise,1088.5387,north,0.7124,44.3562,male,84.0,6442.9143
56.7077,585364.6885,no,0.35,528.5426,179620.1647,mid_market,2500.0,west,0.5056,43.0199,female,84.0,2289.167
43.6564,827419.2248,no,0.35,737.7675,94451.9566,enterprise,2500.0,east,0.2549,95.3593,male,82.7317,9485.8834
23.987,738795.9985,no,0.35,633.8224,176353.0597,smb,2500.0,east,0.3296,12.2231,male,43.0782,13307.1451
55.2254,351646.1857,no,0.35,427.6433,197364.1546,mid_market,2250.2062,east,0.1082,84.5373,other,44.7398,15252.35
75.6032,829460.79,no,0.2674,408.2496,211106.9331,enterprise,2500.0,north,0.3398,0.6106,other,84.0,11326.8556
57.2567,30657.0984,no,0.35,429.0797,126529.9156,enterprise,2500.0,north,0.3701,72.1596,female,84.0,11352.3035
64.775,49762.4924,no,0.0816,565.8678,127780.4172,mid_market,2500.0,west,0.4142,21.5569,other,61.9692,6904.1119
59.3622,45417.3626,no,0.35,659.595,3298.4387,mid_market,2500.0,west,0.2112,13.7235,female,31.4068,6563.119
26.0095,532582.3479,no,0.2301,635.2341,200746.4034,mid_market,2500.0,west,0.3971,74.2041,other,52.9101,9195.6253
43.0742,640141.669,no,0.2895,543.0194,289893.7076,enterprise,1727.0131,north,0.9476,46.0097,male,83.0636,7237.692
54.51,523962.543,no,0.35,486.1647,102514.4711,mid_market,2500.0,north,0.1681,51.0483,female,14.5692,10199.5313
24.3739,255968.222,no,0.1735,391.7219,227986.5616,smb,762.7792,south,0.9513,62.7949,other,56.2104,11275.1459
37.6006,439762.8163,no,0.35,678.8311,239102.5741,mid_market,2500.0,east,0.3519,7.4191,other,55.9474,753.1073
71.5835,855293.3715,no,0.35,604.2407,139350.786,mid_market,2500.0,west,0.7918,89.5877,other,54.5183,16196.5085
27.3534,61873.7001,no,0.1035,839.4761,103687.895,smb,2500.0,north,0.5045,17.2559,male,30.4815,8755.7277
41.1168,282893.5786,no,0.35,503.0203,179767.8729,mid_market,2500.0,north,0.6473,6.5912,male,12.2462,13567.9085
23.0531,663612.106,no,0.35,486.139,197160.3607,enterprise,2500.0,east,0.129,70.8834,other,11.0816,11178.8825
59.5683,508488.4864,no,0.02,485.3196,285399.6248,enterprise,2500.0,east,0.7662,19.2005,other,84.0,3099.7485
38.8794,766307.6044,no,0.131,526.0319,49511.9164,mid_market,2500.0,north,0.7711,80.9044,male,20.6992,8754.0304
55.8569,752391.1651,no,0.35,440.4018,72511.3807,mid_market,2500.0,south,0.7844,90.3974,male,24.0879,13566.4582
49.1802,418660.8267,no,0.1621,419.8186,181794.3708,mid_market,2500.0,east,0.0522,48.0591,female,45.1742,18685.9368
34.9131,905306.209,no,0.1473,562.4835,283977.5656,enterprise,2228.1597,west,0.4511,34.9585,female,4.1738,1066.0845
