age,balance,churned,conversion_rate,credit_score,income,industry_segment,monthly_spend,region,risk_score,score,sex,tenure_months,transaction_amount
57.6445,25010.7552,yes,0.275,433.9264,221204.893,enterprise,1200.0,east,0.8922,25.0,other,51.2087,596.9146
58.2928,544941.4806,yes,0.2204,653.5594,243019.7065,enterprise,74.9226,east,0.8058,69.8139,male,41.4898,3110.4345
70.0,603726.0314,yes,0.8071,737.8391,161332.1993,enterprise,1200.0,north,0.3785,55.2041,other,99.6992,12370.7765
58.9983,773068.3408,yes,0.9852,813.1906,260078.6164,enterprise,1200.0,east,0.4534,83.411,other,20.3558,7106.0587
51.1167,244810.9252,yes,0.4623,461.9687,277691.9627,enterprise,1200.0,west,0.2196,32.4283,male,92.4293,1119.703
70.0,567180.0515,yes,0.7179,427.5759,150270.1466,enterprise,1200.0,west,0.6429,25.0,other,17.616,14900.0347
31.5979,997537.6065,yes,0.5095,354.5456,15087.7963,enterprise,1105.3948,west,0.6274,79.2079,other,51.237,1271.4906
52.3,942430.8614,yes,0.6803,368.731,265551.7466,enterprise,1200.0,south,0.7686,34.0175,other,35.9265,3163.9969
49.4763,106410.8228,yes,0.6253,805.0016,152791.2017,enterprise,1200.0,south,0.3739,25.0,male,114.4665,18448.7592
70.0,878721.8778,yes,0.8317,484.5085,18319.6248,enterprise,1200.0,west,0.9469,25.0,other,58.8329,1385.1812
50.7158,606593.9175,yes,0.9644,857.3481,226824.2938,enterprise,1200.0,north,0.7129,39.8992,female,80.9307,7469.0366
19.3041,553921.5224,yes,0.5884,304.3145,212644.443,enterprise,598.1489,west,0.0674,25.0,female,40.321,10283.6082
62.8479,882383.0751,yes,0.5762,445.7983,142418.9099,enterprise,1200.0,east,0.0943,65.8983,female,43.1614,8222.6344
39.0368,861672.5364,yes,0.2487,414.1253,135135.4508,enterprise,1200.0,east,0.2785,25.0,female,110.8686,8863.1718
70.0,166311.1106,yes,0.4856,428.2484,120911.0475,enterprise,595.7676,west,0.379,90.0,other,32.5592,15681.628
70.0,555768.3234,yes,0.7184,392.8781,89715.6398,enterprise,1200.0,north,0.5792,54.2195,female,90.0091,1144.2483
22.9669,185824.961,yes,0.595,705.1275,71325.9646,enterprise,1200.0,south,0.8903,25.0,male,71.7478,12388.0108
62.4039,238685.9526,yes,0.3958,703.0141,90699.1269,enterprise,1200.0,north,0.7519,25.0,other,55.536,19969.0904
70.0,880864.1737,yes,0.8793,521.7163,48166.3029,enterprise,1200.0,south,0.7035,61.1678,other,118.4807,13079.8724
70.0,264465.9215,yes,0.8897,745.45,47478.925,enterprise,1200.0,east,0.2106,34.288,female,82.8122,17058.4034
69.4196,44086.7618,yes,0.3336,378.4918,293959.5882,enterprise,1200.0,east,0.4418,70.5667,male,67.7479,2238.3657
27.1818,127445.5193,yes,0.3083,839.3889,239040.5692,enterprise,1200.0,north,0.8989,25.0,female,30.694,2056.7696
70.0,810771.7199,yes,0.8814,314.8718,221232.7771,enterprise,1200.0,east,0.9308,80.2235,male,103.8236,16215.1756
70.0,222433.7175,yes,0.8166,576.1819,92252.0693,enterprise,1200.0,south,0.2276,25.0,other,23.9824,6565.9108
60.1301,843661.1633,yes,0.3311,316.5603,263234.4851,enterprise,1200.0,south,0.5806,90.0,male,5.5526,11931.8285
49.7082,385195.4333,yes,0.5766,452.8335,212926.7999,enterprise,40.0,west,0.9256,53.8452,female,86.6122,14839.2596
70.0,623155.4099,yes,0.6634,374.7752,270114.0037,enterprise,1200.0,west,0.6669,32.6183,other,83.9678,11088.6951
28.7897,569105.2549,yes,0.4061,800.2351,91858.6098,enterprise,1200.0,west,0.7858,60.6662,other,39.3477,8836.2786
23.2573,515452.0099,yes,0.6329,501.113,245708.6159,enterprise,1200.0,east,0.6728,25.0,male,24.6965,489.4833
57.0455,194435.2367,yes,0.6964,596.6263,73951.3474,enterprise,1200.0,north,0.0055,75.0964,other,92.6355,2132.6393
21.1135,249198.2797,yes,0.8483,573.8771,240623.5639,enterprise,1200.0,west,0.9879,59.5452,female,114.0547,17828.6271
47.4298,259191.5485,yes,0.2472,682.5969,229978.2916,enterprise,1200.0,south,0.6267,27.4597,other,10.2205,5715.2773
27.3515,383035.2924,yes,0.1528,428.3717,125045.5009,enterprise,1200.0,west,0.4659,25.0,male,100.114,7790.1468
39.809,753475.1251,yes,0.8534,872.0582,126287.3635,enterprise,1200.0,east,0.5461,60.3253,male,27.2441,4389.2133
60.1068,404316.6691,yes,0.165,580.4341,39160.7114,enterprise,1200.0,west,0.027,39.402,female,68.1626,543.0138
41.5044,211660.2842,yes,0.3268,756.7378,114358.7385,enterprise,1200.0,north,0.8319,25.2272,other,10.7468,388.6464
70.0,40258.1375,yes,0.031,448.37,251929.425,enterprise,1200.0,south,0.2385,47.3561,male,14.6123,18955.1927
55.6493,747925.652,yes,0.1145,791.5807,289451.5111,enterprise,1089.9065,north,0.0257,31.1957,female,81.6043,19163.4986
69.4954,242849.3805,yes,0.6972,480.9496,205593.4527,enterprise,1200.0,south,0.7962,56.5933,female,5.8872,10655.3722
68.9845,105538.8706,yes,0.9608,681.3511,248783.486,enterprise,1200.0,west,0.4355,73.3795,other,115.8914,5402.3778
37.9829,245495.1691,yes,0.9346,467.3569,135789.7981,enterprise,1200.0,west,0.5698,66.8188,female,41.0312,9886.6358
34.0178,279658.488,yes,0.5962,828.0644,167181.5173,enterprise,1200.0,west,0.1911,25.0,other,49.3649,11103.9691
45.7868,17243.2593,yes,0.2942,542.6407,73748.244,enterprise,1200.0,west,0.369,55.3473,male,41.9071,19932.6326
32.2934,721284.3313,yes,0.3155,745.7286,285312.3906,enterprise,1200.0,north,0.1915,73.8605,male,33.9035,11792.1485
29.1254,14148.3673,yes,0.5341,464.5868,292314.1844,enterprise,1200.0,south,0.6974,25.0,male,104.3469,9818.083
39.1238,965497.6431,yes,0.2525,817.0338,35112.0551,enterprise,662.7809,north,0.4917,57.7021,female,82.6877,3035.3884
43.8028,596126.8454,yes,0.6184,765.4161,114733.0298,enterprise,1200.0,east,0.2974,58.8525,female,52.0308,11373.0208
34.4081,81187.4655,yes,0.2399,631.1953,47803.252,enterprise,1200.0,west,0.6894,46.9912,female,4.8841,5762.8097
70.0,787828.0266,yes,0.6251,696.7098,280166.8691,enterprise,1200.0,north,0.5446,64.7635,male,109.101,16532.7966
69.1029,921192.529,yes,0.4392,581.2188,91923.266,enterprise,1200.0,south,0.2722,53.9982,other,53.0933,11961.1352
